원료명,업체명,단가
감자가루20kg,(주)대명제분,1500
덱스트린25kg,주식회사 시온식품소재,1320
양육골분,㈜뉴웰엔터프라이스,3630
피로인산나트륨25kg,주식회사 은진캐미컬,2860
산성아황산나트륨25kg (메타중아황산),신원무역상사,2200
씨트리스팀25kg (베타글루칸),에코젠,7700
프락토올리고당25kg (액상),주식회사 수창,1221
리액션플레버(P)15kg,한국사료향미양행,3300
마리골드50g (루테인),(주)미래바이오텍,77000
아스타크산틴1kg (캐로필핑크),(주)이지바이오텍,330000
MSM 25kg,큐피드,8800
브로콜리분말,인그린(주),20900
PT125 1kg (브로멜라인),(주)이지바이오텍,30800
가르시니아 캄보지아1kg,(주)이지바이오텍,115500
녹색잎홍합분말25kg,(주)미래바이오텍,82500
L-카르니틴1kg,주식회사 시온식품소재,88000
위너20kg,(주)한펠,11000
카라멜색소10kg/C-2499,주식회사 남영F&C,4950
카라멜색소 분말 1호,㈜보락,7150
다시마분태10kg,인그린(주),11550
골드플랙스-M 20kg (아마종실분말),(주)미래생명자원,2475
블루베리 (분말),이든타운에프앤비 주식회사,41800
클로렐라분말10kg,제이엘(JL)후드텍,33000
글루코사민25kg,(주)미래바이오텍,18700
비트펄프1000kg,(주)이지바이오텍,605
인산칼슘25kg (MCP),(주)이지바이오텍,957
난황분20kg,(주)이지바이오텍,2277
라이신25kg,(주)이지바이오텍,1815
메치오닌25kg,(주)이지바이오텍,3245
트레오닌25kg,(주)이지바이오텍,1980
아마씨(EXL)25kg [kg],(주)이지바이오텍,2244
일라이트20kg (규조토),주식회사 선바이오텍,605
찐쌀40kg,후덱스무역,2090
프락토올리고당(분말)20kg,주식회사 수창,6270
티카테킨(녹차추출물)20kg(S&C),(주)지앤에프,66000
IGY치아기능20kg (Globigen66),(주)밀테크,99000
IGY장기능20kg (점프스타트케이피),(주)밀테크,106150
아스코필름노도섬 (에스틴),주식회사 에스틴,#VALUE!
프로폴리스(분말),유니크바이오텍 주식회사,88000
프로폴리스(분말),㈜미래바이오텍,50600
비타셀17.5kg,케이유화이버,3080
퀄리셀 20kg,케이유화이버,3080
정제포도당20kg,주식회사 수창,1265
세이지홀200g,케이에프몰(일반),26375
원료1,바이온에프엔비(F&B),550000
원료2,(주)비전바이오켐,5500
원료3,에프앤씨바이오주식회사,165000
원료4,한국캐릭터산업협동조합,24200
원료5,올텍바이오코리아(주),17600
원료6,주식회사 초성,3300
원료7,가보식품(주),8250
원료8,인그린(주),19250
원료9,아이앤지메딕스(I&G MEDIX),#VALUE!
원료10,아이앤지메딕스(I&G MEDIX),#VALUE!
원료11,아이앤지메딕스(I&G MEDIX),#VALUE!
원료12,(주)이지바이오텍,2200
원료13,(주)인섹트바이오텍,11000
원료14,(주)세원통상,24200
원료15,(주)미래바이오텍,42900
원료16,아이앤지메딕스(I&G MEDIX),#VALUE!
원료17,㈜시온식품소재,6930
원료18,씨앤티글로비즈,25300
원료19,(주)비알디코리아,5500
원료20,인투푸드(일반),20999
원료21,왕도매식자재마트(진접점),35200
원료22,왕도매식자재마트(진접점),35090
원료23,(주)재이상사,3190
원료24,(주)아르테미스,#VALUE!
원료25,주식회사 젤존바이오,25850
원료26,주식회사명진,374000
원료27,인그린(주),22000
원료28,큐피드,1342
원료29,큐피드,968
원료30,농업회사법인 안성사료 주식회사,957
원료31,(주)이지바이오텍,2200
오리분1000kg (톤백),농업회사법인 안성사료 주식회사,1045
계유(닭기름),농업회사법인 안성사료 주식회사,1067
소간분말(냉동보관),피엔피(P&P),15000
닭고기가슴살10kg,우림비엔에프,2750
돈피묵10kg,우림식품,990
연육(실꼬리돔)20kg,청우,2200
소고기10kg,대영축산,6600
MDCM 10kg,우림식품,550
오리안심10kg,(주)닭고기거래소-본점,3850
오리안심10kg,농업회사법인 ㈜ 사조원,3300
연어유180kg,주식회사 미주,2750
에틸말톨25kg,(주)신승하이켐,27500
연어갈비살10kg,(주)닭고기거래소-본점,4950
연어갈비살10kg,㈜동선,1650
돼지고기10kg,대영축산,5500
파슬리분태10kg,인그린(주),23100
파슬리분태10kg,이든타운에프앤비 주식회사,19250
메밀가루20kg,(주)대명제분,3300
밀가루20kg (중력1등) [해피팡팡],푸드웰,798
밀가루20kg (중력 1등),푸드웰,616
알파쌀20kg (팽화미),(주)대명제분,750
그릴스모크향10kg (액상),케이비에프(주),44000
단호박분말,인그린(주),9900
딸기분말 (인그린),인그린(주),33000
사과분말 (인그린),인그린(주),17050
프리믹스3호 20kg,(주)이지바이오텍,7673
분쇄대두박900kg (톤백),(주)이지바이오텍,913
옥수수전분20kg (큐원),현진그린밀(주),836
프리믹스1호 710kg,(주)이지바이오텍,972
프리믹스2호 410kg,(주)이지바이오텍,1285
쌀가루20kg (생미분),(주)대명제분,770
고구마전분가루20kg,(주)대명제분,1500
프리믹스5호 630kg,(주)이지바이오텍,512
밀글루텐25kg (활성),주식회사 시온식품소재,3190
당근10kg,춘천유통,1210
콘글루텐800kg,(주)이지바이오텍,968
탈지대두분말 20kg,(주)이지바이오텍,1320
대두분20kg (콩가루),후덱스무역,2145
밀가루 (등외품) 톤백,(주)이지바이오텍,429
시금치분태10kg,인그린(주),27500
유미분(70)15kg,(주)삼현후디스,4400
초유(퓨리문),(주)네오베이스,110000
대용탈지분유20kg (WPC34),(주)네오베이스,3740
WPC80 20kg,(주)이지바이오텍,6820
WPC90 20kg,(주)이지바이오텍,5720
글리세린250kg (아르테미스),주식회사 시온식품소재,1595
구아검25kg,현진그린밀(주),3080
솔비톨20kg (액상),주식회사 수창,1320
설탕15kg (정백당),현진그린밀(주),858
설탕15kg (정백당),주식회사 시온식품소재,836
플로필렌글리콜215kg (PG),주식회사 시온식품소재,3960
솔빈산25kg,현진그린밀(주),7656
솔빈산25kg,주식회사 시온식품소재,6930
프로피온산나트륨25kg,씨유테크,6490
색소-혼합초록색1kg,씨유테크,70400
구연산,씨유테크,2090
색소-적색40호1kg,씨유테크,80300
색소-청색1호1kg,씨유테크,110000
색소-혼합초코색,씨유테크,70400
색소-황색4호1kg,씨유테크,47300
색소-황색5호1kg,씨유테크,47300
이산화티타늄25kg,캠플러스,3465
산성피로인산나트륨25kg,주식회사 은진캐미컬,3300
산성피로인산나트륨25kg,세계로케미칼(주),2013
헥사메타인산나트륨25kg,주식회사 은진캐미컬,3080
헥사메타인산나트륨25kg,세계로케미칼(주),1986
버터시즈닝분말20kg (치즈향),주식회사 시온식품소재,13200
에토시킨20kg (썬퀸50),동선산업(주),6820
하이스위트10kg,마을슈퍼,24200
콜라겐게이싱 2.26kg,(주)천양글로벌,163944
젤라틴25kg (고점도),케이아이씨(주),3850
아질산나트륨22.7kg,현진그린밀(주),8250
BHT,주식회사 시온식품소재,15950
솔비톨20kg (분말),주식회사 수창,2464
콜라겐펩타이드,(주)젤텍,22000
글리세린1000kg,(주)에스씨,550
농축완두단백15kg,(주)비알디코리아,2420
사슴고기 (VENISON MEAT TRIM),제천흑염소,44000
사슴사태정육,닭고기거래소 - 본점,14300
요거트파우더 (한국사료),현진그린밀(주),8360
카라기난 HE-A 20kg [20kg],(주)엠에스씨(M.S.C),27500
카라기난 25KG [25KG],(주)카르반,18150
바나나향 액상 (KBF),케이비에프(주),38500
딸기향 액상 (KBF),케이비에프(주),49500
분유향 액상 (KBF),케이비에프(주),49500
고구마향 액상(KBF),케이비에프(주),44000
당근향 액상(서울향료),서울향료(주)인천공장,41800
체다치즈향 액상(서울향료),서울향료(주)인천공장,42900
박하향 액상(KBF),케이비에프(주),39600
치킨분말향,(주)보락,132000
요구르트향(액상) [KG],주식회사 젤존바이오,58300
페퍼민트향(액상),주식회사 젤존바이오,36300
페퍼민트(액상),이든타운에프앤비 주식회사,20900
인산75% (액상),주식회사 은진캐미컬,2640
TCP [25KG],세계로케미칼(주),479
구연산나트륨(WEIFANG),남영상사 주식회사,1760
사과산나트륨(링고산솔트) M,남영상사 주식회사,6050
구연산칼륨,남영상사 주식회사,4180
구연산나트륨 (중),주식회사 시온식품소재,1540
젖산나트륨,남영상사 주식회사,5500
젖산나트륨(액상),주식회사 시온식품소재,2750
불활성건조효모20KG [20KG],주식회사 조흥,9900
탄산칼슘,주식회사 시온식품소재,2200
히알루론산1KG [1KG],주식회사명진,374000
함수포도당20kg [kg],(주)에버그린글로벌,1045
바이오플렉스C(Bioplex C) [25kg],올텍바이오코리아(주),7150
뉴프로 [25KG],올텍바이오코리아(주),3520
비타민에프에스원 [20KG],(주)미래바이오텍,30800
비펫플러스 (B-pet plus) 장,(주)비알디코리아,35090
한국야쿠르트 유산균(Probiotics MPRO3(215.5G),(주)삼익유가공,748000
새나셀 펫트 150 (SANACEL PET 150),한국캐릭터산업협동조합,3300
QUALICEL PET(퀄리셀 펫트) 150 20kg,케이유화이버,3080
비펫플러스 (B-pet plus) 눈,(주)비알디코리아,36850
결명자분말 [1KG],(주)미래바이오텍,16500
비펫플러스 (B-pet plus) 관절,(주)비알디코리아,34650
N-아세틸글루코사민 [KG],주식회사 젤존바이오,115500
AFB-6C2AQ 25kg,(주)비알디코리아,24200
뮤코프로80P (돼지장점막가수분해물) 20kg,(주)이지바이오텍,3850
ABF-C2739 25kg,(주)비알디코리아,9900
AFP-DC518 25kg,(주)비알디코리아,12100
DPS,(주)이지바이오텍,3300
캣닢분말,주식회사 시온식품소재,52800
씨센스 프리미엄 [KG],(주)한펠,13200
디텍 [KG],(주)한펠,11880
새우 가수분해(Actipal HP1)20kg [kg],(주)뉴트리온어드밴스,7150
역돔(틸라피아) 가수분해원료(Actipal HP2)20kg [kg],(주)뉴트리온어드밴스,5170
연어 가수분해(Peptisalm)25kg [kg],(주)뉴트리온어드밴스,5500
씨센스 11L [200KG],(주)뉴트리온어드밴스,5500
비펫플러스 (B-pet plus) 피부,(주)비알디코리아,30800
"ID-ALG(아스코필럼노도섬,해조류추출물) [3KG]",(주)주퍼터인터내셔널,33000
석세포 [KG],타토스 Tatos,#VALUE!
본투비 얼라이브(MSM) 10kg,아몽(AMONG),0
덴케어벳 조인트 기능성원료(분말),주식회사 에스틴,0
덴케어벳 시니어 기능성원료(분말),주식회사 에스틴,0
덴케어벳 오메가 기능성원료(분말),주식회사 에스틴,0
씨센스9L,(주)뉴트리온어드밴스,4950
견공본가 기능성원료(분말),(주)견공,#VALUE!
씨센스9P,(주)뉴트리온어드밴스,10450
살메이트(큐피드) [25KG],큐피드,14300
멀티밸런스(비앤에스플러스) 25kg,(주)비엔에스플러스,1287
비타비엘(비앤에스플러스) 5kg,(주)비엔에스플러스,7700
피토스테롤(식물스테롤),주식회사 젤존바이오,75900
소취제(식물혼합농축액)-더유핏,주식회사 더유핏,#VALUE!
밀크시슬분말1KG [1KG],주식회사 푸드시너지,33000
한우[아르테미스],(주)아르테미스,0
가수분해닭가슴살,주식회사 에스씨아이,5720
닭가슴살분말(비앤에스플러스) 10kg,(주)비엔에스플러스,16500
오리고기분쇄육(MDDM) [KG],바름,660
오리고기분쇄육(MDDM) [KG],씨씨디푸드 (ccd food),990
북어분말,인그린(주),32450
참치혈합육 18kg,(주)동원에프앤비,957
참치자숙농축액 20kg,(주)동원에프앤비창원공장,1100
게 농축액,케이비에프(주),5500
피쉬콜라겐 10kg,큐피드,33000
새우분말,인그린(주),13200
황태분태(아르테미스),(주)아르테미스,0
크릴새우분말(동원) 20kg,동원산업(주),2640
크릴오일 [KG],(주)씨스팡,0
치즈밀25kg,(주)이지바이오텍,1980
산양혼합탈지 25kg,(주)매호물산,27500
밀웜,(주)이지바이오텍,2178
연어분말(피지마켓),(주)피지마켓,0
오리분말(피지마켓),(주)피지마켓,0
크릴분말,(주)비알디코리아,4510
말고기(잡육),주식회사 부명,0
토끼고기(잡육),주식회사 부명,0
밀웜 파우더,라바밀 Larva meal,#VALUE!
젖산(中)25kg,씨유테크,4620
콘(옥수수가루) [M],(주)이지바이오텍,424
옥수수글루텐(톤백) [kg],(주)에버그린글로벌,902
라이스(쌀가루) [M],(주)이지바이오텍,506
"파쇄 핀토빈1,000kg (pinto bean) (파쇄 콩)",(주)이지바이오텍,440
대두박 분쇄X (톤백),(주)이지바이오텍,688
분쇄대두분 20kg(N-GMO),(주)이지바이오텍,1452
완두단백가루 (pea protenin 55 flour) 15kg,VESTIKORN,5290
완두전분가루 (pea starch flour) 25kg,VESTIKORN,1207
"완두단백 (pea prtein55 powder) 1,000kg(톤백)",VESTIKORN,2653
"완두전분 (pea starch) 1,000kg(톤백)",VESTIKORN,1030
흰강낭콩추출분말(사사견견)25kg,주식회사 젤존바이오,49500
완두분 [이지바이오텍],(주)이지바이오텍,1375
대두이소플라본,에스케이바이오랜드(주),0
탈피대두박분쇄20kg,(주)이지바이오텍,1067
찐고구마분말(증숙),인그린(주),14300
밀가루20kg (중력2등),(주)이지바이오텍,539
타피오카전분(대명제분),(주)대명제분,1320
블루베리 향(분말) 1kg,케이비에프(주),52800
프리믹스6호 430kg,(주)이지바이오텍,545
캘프 분말(다시마분말) 25kg,(주)비알디코리아,13200
파워타피오카전분(99.9%) 20kg,(주)이지바이오텍,1760
블루베리향 액상(KBF),케이비에프(주),52800
사과산(일)25kg,씨유테크,5170
헤마콤플렉스(보타메디 기능성원료) [10kg],주식회사 보타메디,0
호박분말 1kg,인그린(주),8250
코코넛가루(피지마켓),(주)피지마켓,0
유황가루(피지마켓),(주)피지마켓,0
시금치분말,인그린(주),8800
당근분말,인그린(주),9900
반려견 유기사료(유기농혼합곡물) 1000kg,올가피아,1210
바나나분말,인그린(주),7700
호박분태,인그린(주),17600
건크랜베리(더블 다이스드 크랜베리) 2kg,지앤엘푸드,11000
단호박분말(비앤에스플러스),(주)비엔에스플러스,11000
뽕잎분말(비앤에스플러스),(주)비엔에스플러스,6050
녹차분말(비앤에스플러스) 12kg,(주)비엔에스플러스,14245
어성초분말(기능성원료) [눈물싹싹 기능성원료],(주)메디푸드글로벌,#VALUE!
복분자추출분말,인그린(주),9900
도라지추출분말,인그린(주),28600
페퍼민트 [분말],에코젠,242000
해바라기유 18L [L],춘천유통,1944
20야채혼합농축분말 [20KG],해찬솔푸드,16500
울금분말1kg [1kg],이든타운에프앤비 주식회사,8580
유산균배양분말(사균제/EC-12) 1kg,(주)이글벳,#VALUE!
BBC-유산균합제/펫유산균-6(2천억마리/g)11kg,(주)비비씨,#VALUE!
BBC-유산균발효추출분말(GABA),(주)비비씨,#VALUE!
동애등에 마이크로웨이브 건조+분쇄 [20kg],뉴트리인더스트리,3377
혼합유산균 19종 [10억 cfu/g 이상],올랩,38500
정제수 [KG],주식회사 더유핏,#VALUE!
GT콜라겐 [10kg],아미코젠주식회사,41800
통오리가수분해분말 [20kg],주식회사 에스씨아이,6050
생균제 (이지바이오텍),(주)이지바이오텍,55000
포스파티딜세린3kg,두산솔루스 주식회사,506000
